OBJECTID,STREETJUNCTIONID,STREETSEGID,FACILITYID,CAMERAID,POLEID,CAMERATYPE,OWNER,
1,3102,2628,243,243,18557,1,1,
2,6472,10467,113,113,18599,1,1,
3,6343,12663,229,229,19048,1,3,DC Police
4,3527,11413,114,114,18631,1,1,
5,6910,9387,115,115,18652,1,1,
6,3855,3778,233,233,19155,1,3,
7,6912,6041,237,237,19318,1,3,
8,6912,6041,239,239,19318,1,3,
9,4523,4875,120,120,18942,1,3,
10,4523,4875,121,121,18942,1,3,
11,3805,9603,122,122,,2,3,
12,241,3929,123,123,20017,1,3,
13,7523,9116,124,124,20021,1,3,
14,5216,6645,246,246,19428,2,3,
15,47,12918,125,125,20263,1,1,
16,47,6778,126,126,28236,1,1,
17,47,6778,127,127,28236,1,1,
18,6082,10164,128,128,20547,1,1,
19,1022,277,160,160,20843,1,1,
20,5713,9549,129,129,20855,1,1,
21,6906,7156,130,130,20868,1,1,
22,1048,8205,132,132,20896,1,1,
23,5230,6689,133,133,20905,1,1,
24,5129,13156,137,137,20924,1,1,
25,5860,8753,138,138,20927,1,1,
26,5130,12690,139,139,20931,1,1,
27,6845,1231,140,140,20935,1,1,
28,6099,11276,141,141,20960,1,1,
29,6294,9517,161,161,22052,1,1,
30,6225,3699,142,142,22065,1,1,
31,6225,3699,144,144,22065,1,1,
32,394,5404,270,270,19886,1,1,
33,394,5404,248,248,19886,1,1,
34,2060,3351,250,250,19898,1,1,
35,5459,7707,252,252,19951,1,3,
36,952,212,143,143,22423,1,1,
37,4328,7240,136,136,22535,1,2,
38,4328,5946,135,135,22541,1,2,
39,2396,1588,145,145,22587,1,2,
40,18,10918,254,254,21059,1,1,
41,258,2441,256,256,21059,1,1,
42,258,2441,258,258,21059,1,1,
43,3776,8308,134,134,22700,1,2,
44,83,12910,146,146,22722,1,2,
45,5664,9346,147,147,22738,1,3,
46,583,12125,260,260,21180,1,1,
47,583,12125,262,262,21180,1,1,
48,1867,790,148,148,24048,1,1,
49,1867,790,149,149,24048,1,1,
50,1035,3699,264,264,21247,1,1,
51,1035,3699,266,266,21247,1,1,
52,83,10373,268,268,21253,1,1,
53,6645,11372,150,150,28237,1,1,
54,3268,2796,151,151,24177,1,1,
55,6436,12972,152,152,24177,1,1,
56,2953,13751,153,153,24233,1,3,
57,2758,11868,154,154,24256,1,3,
58,4632,11220,131,131,24316,1,1,
59,6907,10606,155,155,24394,1,1,
60,3061,9875,156,156,24409,1,1,
61,1362,5865,25,25,2497,1,3,
62,6287,7913,27,27,,2,3,
63,5534,9169,29,29,,2,3,
64,3957,3978,176,176,28235,1,3,
65,87,9344,36,36,2913,1,1,
66,3194,8191,178,178,3227,1,3,
67,12,12828,177,177,3653,1,1,
68,6671,1690,179,179,3748,1,1,
69,5003,13635,180,180,3963,1,3,
70,5003,5856,181,181,,2,3,
71,864,2125,182,182,3985,1,1,
72,1335,5551,183,183,3998,1,1,
73,1214,10701,184,184,5024,1,3,
74,5671,7858,185,185,5064,1,1,
75,78,7982,186,186,5267,1,1,
76,4130,11726,210,210,5924,1,1,
77,4510,11408,212,212,5925,1,1,
78,4549,4915,214,214,5940,1,1,
79,16,10007,216,216,5959,1,1,
80,653,7505,218,218,5989,1,3,
81,717,7364,220,220,7006,1,3,
82,1757,1512,222,222,7027,1,3,
83,6540,10794,187,187,5533,1,1,
84,6540,10794,188,188,5533,1,2,
85,1740,11042,189,189,5533,1,1,
86,4996,9787,190,190,5572,1,1,
87,4996,9787,191,191,5572,1,2,
88,1141,398,192,192,5601,1,1,
89,3602,7146,193,193,5607,1,1,
90,4300,7745,194,194,5630,1,1,
91,4129,7158,195,195,5643,1,1,
92,1188,445,196,196,5657,1,1,
93,2253,12067,197,197,5670,1,1,
94,3291,11282,198,198,5678,1,1,
95,3291,11282,200,200,5678,1,2,
96,3291,11282,202,202,5678,1,2,
97,3291,11282,204,204,5678,1,2,
98,2312,1297,206,206,5682,1,1,
99,1748,12149,208,208,5710,1,1,
100,4,3438,224,224,7058,1,1,
101,2507,1747,226,226,7061,1,1,
102,6420,8931,228,228,7072,1,1,
103,3518,555,230,230,7094,1,1,
104,715,471,232,232,7112,1,1,
105,3508,11987,234,234,7134,1,1,
106,919,7099,236,236,7155,1,1,
107,3607,7242,238,238,7164,1,1,
108,1410,859,240,240,7188,1,1,
109,817,8680,242,242,7192,1,1,
110,5781,7749,244,244,362,1,1,
111,5346,13101,245,245,7413,1,1,
112,1810,4434,247,247,7511,1,2,
113,3980,6338,249,249,7527,1,1,
114,5013,10963,251,251,7587,1,1,
115,3575,5116,253,253,7618,1,1,
116,3575,5116,255,255,7619,1,1,
117,1849,10325,257,257,7634,1,1,
118,6097,10963,259,259,7670,1,1,
119,6097,9838,261,261,7674,1,1,
120,4403,12035,263,263,7689,1,1,
121,7822,6425,265,265,7699,1,2,
122,7822,6425,267,267,7699,1,2,
123,3114,5447,269,269,7725,1,1,
124,3255,11714,271,271,7767,1,1,
125,3255,11714,273,273,7767,1,1,
126,3255,2783,275,275,7773,1,1,
127,5614,12430,277,277,7871,1,1,
128,5614,7383,279,279,7876,1,1,
129,1839,843,281,281,7880,1,1,
130,88,11277,283,283,7893,1,1,
131,1671,574,285,285,7908,1,1,
132,1472,2919,287,287,7935,1,2,
133,3477,3275,30,30,10391,1,3,
134,6909,2405,31,31,10421,1,3,
135,3852,3755,32,32,10467,1,3,
136,3852,12756,33,33,10472,1,3,
137,6313,9615,34,34,10476,1,3,
138,81,2848,35,35,10538,1,3,
139,2428,1645,289,289,9003,1,1,
140,1831,1945,291,291,9010,1,1,
141,1560,11288,293,293,9046,1,1,
142,2703,10856,295,295,9061,1,1,
143,3492,12388,297,297,9092,1,1,
144,2158,7483,299,299,9138,1,1,
145,2159,6574,300,300,9146,1,1,
146,766,4922,301,301,9172,1,1,
147,22,9796,302,302,9178,1,1,
148,3239,8322,303,303,9200,1,1,
149,3239,8322,304,304,9200,1,1,
150,824,5435,305,305,9206,1,1,
151,824,5435,306,306,9207,1,1,
152,824,5435,307,307,9207,1,1,
153,824,5435,308,308,9215,2,3,
154,3337,11399,309,309,9360,1,1,
155,5136,10168,310,310,9369,1,1,
156,4801,9127,311,311,9403,1,1,
157,4294,11306,312,312,9427,1,1,
158,2665,12390,313,313,9435,1,1,
159,2665,12390,314,314,9435,1,1,
160,2665,12390,315,315,9436,1,1,
161,2665,12390,316,316,9436,1,1,
162,3718,3671,317,317,9464,1,1,
163,4079,10216,318,318,9472,1,1,
164,96,10935,37,37,10548,1,1,
165,96,13217,38,38,10553,1,1,
166,1616,2908,39,39,10578,1,1,
167,45,10422,40,40,10583,1,1,
168,45,3432,41,41,10585,1,1,
169,45,3432,42,42,10585,1,1,
170,3471,3165,319,319,9492,1,1,
171,3571,12316,320,320,9518,1,1,
172,638,8994,321,321,9534,1,1,
173,823,11901,322,322,9534,1,1,
174,823,11901,323,323,9534,1,1,
175,823,8994,324,324,9540,1,1,
176,823,8994,325,325,9540,1,1,
177,1932,8798,4,4,27,1,3,
178,4596,951,5,5,,2,3,
179,1992,951,6,6,,2,3,
180,3070,7094,7,7,,2,3,
181,3070,9726,8,8,292,1,3,
182,3736,7094,9,9,,2,3,
183,5651,11091,10,10,359,1,3,
184,4364,11996,12,12,791,1,3,
185,2777,9752,11,11,763,1,1,
186,5914,8611,13,13,914,1,3,
187,6894,13207,166,166,1128,1,3,
188,5995,12172,167,167,1189,1,3,
189,858,123,1,1,2001,1,1,
190,3158,11978,168,168,1342,1,3,
191,15,1807,169,169,1378,1,1,
192,15,8893,170,170,1384,1,1,
193,15,8893,171,171,1387,1,1,
194,34,6123,14,14,2065,1,3,
195,5606,7359,2,2,401,1,1,
196,3436,4656,15,15,2204,1,1,
197,3436,3060,16,16,2208,1,1,
198,2900,6719,17,17,2348,1,1,
199,2900,2350,3,3,2352,1,1,
200,6533,10756,173,173,1442,1,3,
201,3592,3498,174,174,1519,1,1,
202,5315,6930,175,175,1529,1,1,
203,1331,4282,18,18,2395,1,1,
204,3728,10983,19,19,2440,1,1,
205,3579,3449,20,20,,2,3,
206,3579,3449,21,21,,2,3,
207,4422,4705,172,172,1953,1,1,
208,6296,12399,22,22,414,1,1,
209,3800,6427,23,23,2606,1,3,
210,3800,8009,24,24,,2,3,
211,2705,2077,26,26,2640,1,3,
212,4868,11530,28,28,2660,1,1,
213,3126,3812,43,43,4151,1,3,
214,3126,7179,44,44,4156,1,3,
215,3127,9048,45,45,4158,1,3,
216,4939,11185,46,46,4166,1,3,
217,4089,8030,47,47,4240,1,3,
218,3463,3093,48,48,4286,1,3,
219,3463,5943,49,49,4293,1,3,
220,2056,11657,50,50,4327,1,1,
221,561,3234,51,51,4352,1,1,
222,1247,2514,72,72,4386,1,1,
223,1247,2240,52,52,4389,1,1,
224,3055,8899,53,53,4612,1,1,
225,3217,5098,54,54,4834,1,1,
226,1369,2299,55,55,4904,2,3,
227,4444,4740,56,56,6359,1,1,
228,2760,6242,57,57,6370,1,1,
229,6948,3232,58,58,6463,1,1,
230,2411,5844,59,59,6475,1,3,
231,4017,13044,60,60,6532,1,3,
232,1249,4405,61,61,6582,1,3,
233,2100,6149,62,62,6684,1,1,
234,2100,10327,63,63,6691,1,1,
235,2254,1198,64,64,6536,1,1,
236,5100,6304,65,65,6847,1,1,
237,5100,6657,66,66,6849,1,1,
238,3633,1847,67,67,6891,1,1,
239,3633,3542,68,68,6899,1,1,
240,6972,5689,69,69,6908,1,1,
241,6972,7189,70,70,6913,1,1,
242,3878,5469,71,71,8137,1,1,
243,3878,5338,73,73,8139,1,1,
244,3878,5469,74,74,8144,1,1,
245,6665,2593,75,75,8264,1,1,
246,6665,11480,76,76,8268,1,1,
247,5360,6992,77,77,8313,1,1,
248,5038,6081,78,78,8675,1,1,
249,423,1420,79,79,8784,1,1,
250,3984,9528,80,80,8908,1,1,
251,4071,4217,81,81,10025,1,1,
252,3658,10392,199,199,9750,1,1,
253,5698,9474,201,201,9892,1,1,
254,268,11890,82,82,10958,1,1,
255,6206,13636,83,83,12051,1,1,
256,2713,6046,203,203,9929,1,1,
257,4937,12009,205,205,11314,1,1,
258,945,206,84,84,12418,1,1,
259,1061,5319,86,86,12551,1,1,
260,3206,2081,88,88,12562,1,1,
261,2573,9383,90,90,12626,1,1,
262,1987,2002,92,92,12664,1,1,
263,4811,9605,94,94,12723,1,1,
264,6923,10956,99,99,14357,1,3,
265,6923,10956,100,100,14357,1,3,
266,5275,6168,207,207,15834,1,1,
267,6256,10904,209,209,13092,1,3,
268,7052,6034,211,211,13105,1,3,
269,4620,1647,95,95,14166,1,1,
270,65,11385,96,96,14183,3,3,
271,65,11385,97,97,14184,3,3,
272,6160,10603,98,98,14211,1,1,
273,4103,10843,85,85,16823,1,1,
274,3568,7588,87,87,,2,3,
275,3873,4083,89,89,,2,3,
276,3873,4083,91,91,,2,3,
277,3873,3799,93,93,14739,1,1,
278,3889,9379,213,213,13776,1,1,
279,1979,5649,215,215,15939,1,1,
280,3058,9879,219,219,15945,1,1,
281,4247,4494,225,225,17053,1,1,
282,4765,13035,217,217,17213,1,1,
283,755,12314,221,221,17262,1,1,
284,6925,9529,101,101,,2,3,
285,3790,3260,102,102,18016,1,3,
286,6139,3968,103,103,18036,1,3,
287,6248,7536,104,104,18047,1,3,
288,6184,492,105,105,18082,1,3,
289,6184,492,106,106,18082,1,3,
290,4719,12494,107,107,18084,1,3,
291,4719,12494,108,108,18084,1,3,
292,4535,12840,109,109,18153,1,3,
293,3976,9645,241,241,18229,1,3,
294,3976,9645,110,110,18229,1,3,
295,5477,7256,223,223,17614,1,1,
296,6647,11424,227,227,17777,1,3,
297,7142,35,231,231,17804,1,3,
298,4170,11817,235,235,17878,1,3,
299,6456,9282,111,111,,2,3,
300,5765,10613,112,112,18360,1,3,
301,103,8491,157,157,24439,1,1,
302,2304,1285,159,159,24774,1,2,
303,3828,4076,116,116,20888,1,1,
304,2166,6991,117,117,20911,1,2,
305,2166,6007,118,118,20916,1,2,
306,6806,9320,119,119,21281,1,1,
307,1026,9438,162,162,24610,1,1,
308,6062,1569,164,164,126089,1,3,
309,26,6467,165,165,27939,1,1,
310,5146,6467,272,272,21419,1,1,
311,1492,506,274,274,126091,1,3,
312,3715,7741,276,276,,2,3,
313,3715,6227,278,278,21781,1,1,
314,2611,11642,280,280,21781,1,1,
315,3314,13699,282,282,126083,1,3,
316,6616,8717,284,284,126084,1,3,
317,1000,13733,286,286,23162,1,1,
318,5309,9504,288,288,23212,1,1,
319,4420,3152,290,290,23246,1,1,
320,2299,10563,292,292,126085,1,3,
321,6680,11593,294,294,126086,1,3,
322,4223,1445,296,296,23922,1,1,
323,5973,11071,298,298,25080,1,1,
324,3586,6978,163,163,23864,1,1,
325,6966,1642,327,327,28238,1,3,
326,632,8047,326,326,25267,1,1,
327,4912,11067,328,328,25640,1,1,
328,7507,2760,329,329,25657,1,1,
329,2970,13183,330,330,25673,1,3,
330,7467,13152,332,332,26542,1,3,
331,4075,2895,331,331,26425,2,3,
332,2813,2214,333,333,27369,2,3,
333,7522,5476,334,334,25957,1,3,
334,6965,3674,335,335,26826,1,1,
335,6965,3674,336,336,26838,2,3,
336,2851,2769,337,337,26849,1,3,
337,7542,4344,338,338,26868,1,3,
338,2813,5055,339,339,28010,1,1,
339,1274,13136,340,340,28125,1,3,
